Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1700000,1.3530959,-0.0076278658,335.0,2.2804780803336246,2.2804780803336246,1.0
1710000,1.3527437,-0.0041887616,191.0,2.4955803034827113,2.4955803034827113,1.0
1720000,1.3526407,-0.00810413,751.2105263157895,1.1048686334765272,1.1048686334765272,1.0
1730000,1.3530147,0.07037842,1738.25,-1.2610124293714762,-1.2610124293714762,1.0
1740000,1.3541081,0.046928167,788.5384615384615,1.39023106229993,1.39023106229993,1.0
1750000,1.3545411,0.024896229,759.8571428571429,1.0020002799283247,1.0020002799283247,1.0
1760000,1.3550041,-0.029455021,686.0769230769231,3.0620337408165343,3.0620337408165343,1.0
1770000,1.3553257,-0.017006174,1044.7777777777778,-0.2538381912387334,-0.2538381912387334,1.0
1780000,1.3547319,-0.05555602,179.44444444444446,3.121467210352421,3.121467210352421,1.0
1790000,1.3533751,-0.06622303,1136.7777777777778,0.7751573196479252,0.7751573196479252,1.0
1800000,1.3525728,0.057464603,420.92,1.9351602777082006,1.9351602777082006,1.0
1810000,1.3524737,0.08458961,908.5,0.6356555772039832,0.6356555772039832,1.0
1820000,1.3523469,0.13041314,337.875,2.181442442313327,2.181442442313327,1.0
1830000,1.3517948,-0.010503351,1109.0,0.6502002431079745,0.6502002431079745,1.0
1840000,1.3510057,-0.045919437,276.2631578947368,2.434310853689615,2.434310853689615,1.0
1850000,1.3499279,0.07749872,1085.4516129032259,0.3470194762771679,0.3470194762771679,1.0
1860000,1.3489473,0.106764376,423.0,1.9858935420090953,1.9858935420090953,1.0
1870000,1.348629,0.030920997,121.4,2.9823603020980953,2.9823603020980953,1.0
1880000,1.3480624,-0.04235665,835.6153846153846,2.496911426191218,2.496911426191218,1.0
1890000,1.3477352,0.06075315,1193.0,-0.31273172004148364,-0.31273172004148364,1.0
1900000,1.3484653,0.067135565,475.0,1.7103201559977605,1.7103201559977605,1.0
1910000,1.3488047,0.012462662,195.57142857142858,2.8081360797971553,2.8081360797971553,1.0
1920000,1.3486364,-0.008409389,327.4,2.1415503535419704,2.1415503535419704,1.0
1930000,1.3483137,-0.02227015,717.2608695652174,1.2500741384397058,1.2500741384397058,1.0
1940000,1.3483816,-0.079803586,1183.888888888889,-0.42794436526795226,-0.42794436526795226,1.0
1950000,1.3488632,0.012184879,621.4,1.3722468274955948,1.3722468274955948,1.0
1960000,1.3486873,-0.04444161,384.7931034482759,1.9886071298528334,1.9886071298528334,1.0
1970000,1.3481939,0.065834075,601.1428571428571,1.2940089835876436,1.2940089835876436,1.0
1980000,1.3480512,0.18705045,746.6521739130435,1.488246667113604,1.488246667113604,1.0
1990000,1.3476303,0.11802849,None,None,None,1.0
2000000,1.347391,0.038446017,435.6,1.9307402724545681,1.9307402724545681,1.0
2010000,1.3474281,0.07536584,493.0,1.9408753950920072,1.9408753950920072,1.0
2020000,1.347728,0.1804778,678.1428571428571,1.1976890941279836,1.1976890941279836,1.0
2030000,1.3479656,0.099996455,322.68,2.2076897598116805,2.2076897598116805,1.0
2040000,1.348034,0.13211398,229.5,2.4678703967132605,2.4678703967132605,1.0
2050000,1.3484286,0.101802446,578.0526315789474,1.6050818715072972,1.6050818715072972,1.0
2060000,1.3483673,0.2760207,531.8333333333334,1.6690460627893724,1.6690460627893724,1.0
2070000,1.3481357,0.08681991,311.0,2.1900603003799914,2.1900603003799914,1.0
2080000,1.3482772,-0.025290685,293.2857142857143,2.724578111147922,2.724578111147922,1.0
2090000,1.3482739,0.009772277,904.4285714285714,1.7065884706030108,1.7065884706030108,1.0
