Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
520000,-0.37250146,4.430916,412.0,None,None,None,0.6099147200584412,0.6099147200584412,1.0
530000,-0.25153837,4.428037,None,0.018886143,0.020876132,0.00027374362,None,None,1.0
540000,-0.23963371,4.425391,None,0.017711733,0.025687745,0.0002730268,None,None,1.0
550000,-0.41381928,4.423383,None,None,None,None,None,None,1.0
560000,-0.36425272,None,None,0.010652513,0.027186045,0.00027210524,None,None,1.0
570000,-0.38191715,4.4268527,None,None,None,None,None,None,1.0
580000,-0.47360006,4.422288,1999.0,0.012090338,0.029218327,0.00027138842,-9.225990645587444,-9.225990645587444,1.0
590000,-0.4945116,4.421261,None,None,None,None,None,None,1.0
600000,-0.481971,4.419911,None,0.010134665,0.023436764,0.000270486,None,None,1.0
610000,-0.4051179,4.4133573,1999.0,0.004065525,0.022737587,0.0002697692,-9.218295648694038,-9.218295648694038,1.0
620000,-0.49259257,4.4140224,1999.0,None,None,None,-8.695376547177633,-8.695376547177633,1.0
630000,-0.53872395,4.4790697,1999.0,0.0125968605,0.026226161,0.00026890522,-7.713904165408828,-7.713904165408828,1.0
640000,-0.42297277,4.429092,None,0.0014766947,0.024275765,0.0002682556,-7.5472531914711,-7.5472531914711,1.0
650000,-0.31165537,4.41593,1999.0,None,None,None,-6.365645676851273,-6.365645676851273,1.0
660000,-0.22302815,4.4014983,None,0.014736982,0.0244314,0.00026734362,None,None,1.0
670000,-0.22199528,4.4044704,None,0.020995596,0.027013656,0.0002666268,None,None,1.0
680000,-0.37058467,4.407605,None,None,None,None,None,None,1.0
690000,-0.37544072,None,None,0.009352578,0.02150934,0.00026570522,None,None,1.0
700000,-0.3868013,4.4095745,None,None,None,None,None,None,1.0
710000,-0.4503489,4.412505,1999.0,0.007759001,0.02688325,0.00026498843,-8.04005079716444,-8.04005079716444,1.0
720000,-0.4391725,None,None,0.0054447516,0.024514489,0.00026408603,None,None,1.0
730000,-0.44038832,4.404453,None,None,None,None,None,None,1.0
740000,-0.34954438,4.404483,1999.0,0.0032765656,0.026004454,0.00026336923,-7.274235546588898,-7.274235546588898,1.0
750000,-0.49947584,4.408241,1999.0,0.003234404,0.024235338,0.00026250523,-7.687991520762443,-7.687991520762443,1.0
760000,-0.51842767,4.462988,1999.0,None,None,None,-7.728021563518615,-7.728021563518615,1.0
770000,-0.30996963,4.3998547,1999.0,0.0025629576,0.021821333,0.00026185557,-8.150280581580269,-8.150280581580269,1.0
780000,-0.24861856,4.4005184,None,None,None,None,-8.304450944066048,-8.304450944066048,1.0
790000,-0.23941664,4.393718,None,0.01774821,0.023839088,0.00026094363,None,None,1.0
800000,-0.22092398,4.39434,None,0.015699072,0.026648493,0.00026022684,None,None,1.0
810000,-0.44226325,4.4006376,812.0,None,None,None,-1.4755906611680984,-1.4755906611680984,1.0
820000,-0.37601805,4.398492,None,0.010883994,0.024517013,0.00025924502,None,None,1.0
830000,-0.36694866,4.3863816,1999.0,0.009124415,0.027432697,0.0002586307,-6.686110556125641,-6.686110556125641,1.0
840000,-0.4160048,4.378209,1749.0,0.0058449972,0.023627162,0.00025804262,-6.6024581007659435,-6.6024581007659435,1.0
