Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
800000,-0.33214688,1.2980211,1999.0,None,None,None,-9.662667195002237,-9.662667195002237,1.0
810000,-0.44591933,1.2973114,1345.1666666666667,0.044380262,0.02262872,0.00025999272,-6.006500417832285,-6.006500417832285,1.0
820000,-0.42809555,1.2962477,1303.6,0.08644452,0.023628652,0.00025947244,-6.22300037829315,-6.22300037829315,1.0
830000,-0.379368,1.296318,1408.0,0.112304,0.023592276,0.00025895477,-5.626571778740201,-5.626571778740201,1.0
840000,-0.30113325,1.2973231,796.0,0.08325163,0.018222576,0.0002583975,-8.499000638723373,-8.499000638723373,1.0
850000,0.906332,1.2980953,1212.5,0.048777547,0.022759214,0.00025781718,-4.481778035561244,-4.481778035561244,1.0
860000,2.338993,1.2983513,914.0,8.712463,0.026203778,0.00025728098,-3.988666832447052,-3.988666832447052,1.0
870000,-0.39692003,1.2990342,None,0.06685361,0.027100772,0.0002567506,None,None,1.0
880000,-0.46632892,1.2993276,1999.0,0.041931525,0.019665252,0.00025622005,-8.829833855231604,-8.829833855231604,1.0
890000,-0.38088152,1.2986401,1703.25,0.037566725,0.024068622,0.0002556656,-7.26775045444568,-7.26775045444568,1.0
900000,-0.2544112,1.2984668,1097.5,0.04402066,0.020697286,0.0002551056,-4.989000305533409,-4.989000305533409,1.0
910000,-0.4582942,1.2987888,826.5,0.051891427,0.02707033,0.00025457033,-3.285889016257392,-3.285889016257392,1.0
920000,-0.3087878,1.2992975,1367.6666666666667,None,None,None,-5.383916944265366,-5.383916944265366,1.0
930000,-0.2712265,1.3001566,1362.3333333333333,0.04910871,0.023344042,0.00025399323,-5.924778156810337,-5.924778156810337,1.0
940000,-0.3369687,1.3000878,986.6666666666666,0.052131627,0.022910394,0.00025345656,-4.32983357210954,-4.32983357210954,1.0
950000,-0.28587264,1.3000822,1999.0,0.03544164,0.023948988,0.00025293525,-5.906000276406606,-5.906000276406606,1.0
960000,-0.39387444,1.3007872,1999.0,0.03653987,0.020166356,0.0002524121,-9.329333861668905,-9.329333861668905,1.0
970000,-0.35724917,1.3006883,1569.0,0.022649957,0.029562904,0.00025187444,-7.347500403722127,-7.347500403722127,1.0
980000,-0.41913128,1.3009717,1390.0,0.035131212,0.0162202,0.00025133384,-4.595666880408923,-4.595666880408923,1.0
990000,-0.4017788,1.3017552,1350.0,0.027298119,0.023170825,0.00025078474,-6.8140004525582,-6.8140004525582,1.0
1000000,-0.40068963,1.3018377,1999.0,0.04032112,0.029289462,0.00025024638,-8.996000488599142,-8.996000488599142,1.0
1010000,-0.4302732,1.3025745,1765.5,0.025684424,0.031549305,0.000249716,-7.796800529956817,-7.796800529956817,1.0
1020000,-0.3916178,1.3028929,1461.4,0.046664424,0.019499378,0.00024915722,-6.665375424548984,-6.665375424548984,1.0
1030000,-0.34284955,1.3026121,335.5,0.027660618,0.026681881,0.00024860265,-1.1790000771482785,-1.1790000771482785,1.0
1040000,-0.3345521,1.3016939,1999.0,0.02635046,0.017024372,0.00024807226,-8.999000747998556,-8.999000747998556,1.0
