Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
4510000,1.9937805,1693.25,-9.32991,-174.57793802022934,-174.57793802022934,1.0
4520000,1.8820078,1422.3333333333333,-8.446656,-141.41547167963452,-141.41547167963452,1.0
4530000,1.9338833,1012.5,-8.009637,-81.46051148364418,-81.46051148364418,1.0
4540000,1.9157003,1149.0,-8.03462,-87.04373729228973,-87.04373729228973,1.0
4550000,1.9547685,727.8,-8.525771,-52.42512624263763,-52.42512624263763,1.0
4560000,1.9355073,936.5,-8.301198,-39.93651010592779,-39.93651010592779,1.0
4570000,1.905715,1285.5,-8.360912,-130.4252153635025,-130.4252153635025,1.0
4580000,1.8999591,584.3333333333334,-7.680469,-35.495259602864586,-35.495259602864586,1.0
4590000,1.9159327,595.0,-7.770011,-35.90387599170208,-35.90387599170208,1.0
4600000,1.9526731,821.3333333333334,-8.135474,-72.56775468587875,-72.56775468587875,1.0
4610000,1.9206655,666.6,-8.007596,-50.68695632219315,-50.68695632219315,1.0
4620000,1.8872373,None,-7.6901755,None,None,1.0
4630000,1.8932687,953.3333333333334,-7.8144174,-49.930207685990766,-49.930207685990766,1.0
4640000,1.9415162,932.0,-8.138069,-80.93296241760254,-80.93296241760254,1.0
4650000,1.8842261,919.6666666666666,-8.3203535,-70.4503604148825,-70.4503604148825,1.0
4660000,1.8614075,1712.5,-8.1671915,-132.76045817136765,-132.76045817136765,1.0
4670000,1.8505379,962.2,-7.876052,-83.95315822064876,-83.95315822064876,1.0
4680000,1.9033808,1469.5,-7.759599,-128.52591979503632,-128.52591979503632,1.0
4690000,1.9057769,415.5,-7.7028847,-23.204982101917267,-23.204982101917267,1.0
4700000,1.951001,1162.5,-7.7772174,-101.11530315876007,-101.11530315876007,1.0
4710000,1.9077175,569.0,-7.4786987,-37.6226943731308,-37.6226943731308,1.0
4720000,1.8949444,620.3333333333334,-8.478778,-51.951634022322565,-51.951634022322565,1.0
4730000,1.8975644,1409.0,-8.256759,-107.73516883850098,-107.73516883850098,1.0
4740000,1.9046865,1073.8,-8.265969,-99.32039526700973,-99.32039526700973,1.0
4750000,1.8728218,927.0,-7.7381735,-72.61009673277538,-72.61009673277538,1.0
4760000,1.8936448,1316.5,-7.7300415,-109.81393206492066,-109.81393206492066,1.0
4770000,1.9557495,429.0,-7.786537,-28.999213218688965,-28.999213218688965,1.0
4780000,1.944869,769.0,-7.9334254,-49.18332052230835,-49.18332052230835,1.0
4790000,1.8950995,1999.0,-8.002983,-199.41822242736816,-199.41822242736816,1.0
4800000,1.8642007,927.0,-7.823643,-75.32715845108032,-75.32715845108032,1.0
