Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000000,1.4924045,759.0,-0.31145623,-2.9646668285131454,-2.9646668285131454,1.0
1010000,1.4920763,None,-0.38632792,None,None,1.0
1020000,1.492356,1506.0,-0.43676862,-6.865333795547485,-6.865333795547485,1.0
1030000,1.4938337,1316.0,-0.3703929,-5.471222612592909,-5.471222612592909,1.0
1040000,1.4939195,1755.6666666666667,-0.4358073,-7.891444901625316,-7.891444901625316,1.0
1050000,1.4938531,851.0,-0.3579845,-3.257333513763216,-3.257333513763216,1.0
1060000,1.493046,1472.8333333333333,-0.40837988,-5.707267036040624,-5.707267036040624,1.0
1070000,1.4931225,80.5,-0.37883788,-2.4928890698485904,-2.4928890698485904,1.0
1080000,1.4927593,1840.5,-0.40733588,-8.03883389631907,-8.03883389631907,1.0
1090000,1.4926112,1081.0,-0.41242436,-4.239333460728328,-4.239333460728328,1.0
1100000,1.4934914,1216.0,-0.42027968,-4.748166913787524,-4.748166913787524,1.0
1110000,1.4938382,1999.0,-0.39940658,-9.999000787734985,-9.999000787734985,1.0
1120000,1.4944581,1392.3333333333333,-0.38977563,-7.983000499861581,-7.983000499861581,1.0
1130000,1.4947984,1514.75,-0.7011456,-5.142666990558307,-5.142666990558307,1.0
1140000,1.4968337,969.75,-0.3569981,-4.658928935016904,-4.658928935016904,1.0
1150000,1.4992557,861.3333333333334,-4.5928855,-3.753444750689798,-3.753444750689798,1.0
1160000,1.4992589,1000.5,-0.6338384,-8.662667214870453,-8.662667214870453,1.0
1170000,1.5003492,1334.3333333333333,-7.2077236,-4.175166914084305,-4.175166914084305,1.0
1180000,1.5024382,1999.0,-13.635492,-9.665667454401651,-9.665667454401651,1.0
1190000,1.5045874,None,-1.293041,None,None,1.0
1200000,1.5061058,1549.0,-2.6411119,-6.296600344777107,-6.296600344777107,1.0
1210000,1.507486,1275.25,-0.36016223,-5.222652518230936,-5.222652518230936,1.0
1220000,1.5071914,740.3333333333334,-0.32099792,-4.693416967988014,-4.693416967988014,1.0
1230000,1.5071838,659.0,-1.1660235,-1.6323334177335103,-1.6323334177335103,1.0
1240000,1.5085369,1352.0,-0.38103625,-5.264000351230304,-5.264000351230304,1.0
1250000,1.5102026,759.0,-4.7620826,-2.1303334534168243,-2.1303334534168243,1.0
1260000,1.5122715,957.5,-0.36628002,-3.7905002931753793,-3.7905002931753793,1.0
1270000,1.5137455,1999.0,-9.06012,-8.996429102761406,-8.996429102761406,1.0
1280000,1.5152795,1134.0,-9.025405,-5.576071805187634,-5.576071805187634,1.0
1290000,1.5177323,1104.0,-0.07566774,-4.855833649635315,-4.855833649635315,1.0
1300000,1.5183669,918.4,-0.13863069,-3.7946002461016177,-3.7946002461016177,1.0
1310000,1.5189278,1419.0,-0.06541245,-5.4303335547447205,-5.4303335547447205,1.0
1320000,1.5180432,506.0,-0.27014837,-0.8648333350817362,-0.8648333350817362,1.0
1330000,1.5170656,1358.25,-0.2101587,-6.0437504177292185,-6.0437504177292185,1.0
1340000,1.5163212,762.5,-0.3797855,-2.482166816790899,-2.482166816790899,1.0
1350000,1.5163978,1999.0,-0.36723846,-9.66316725810369,-9.66316725810369,1.0
